model_id,model_size,weights,int4_ratio,group_size,is_sparse,up_ratio,gate_ratio,down_ratio,first_latency,second_avg_latency,acc
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,False,,,,"509,57","494,72","0,6806"
Llama-3.1-8B-Instruct,"5,00",int4,"1,00",128,False,,,,"126,45","111,46","0,6676"
Llama-3.1-8B-Instruct,"4,95",int4,"1,00",256,False,,,,"120,09","107,76","0,6744"
Llama-3.1-8B-Instruct,"4,92",int4,"1,00",512,False,,,,"121,47","106,86","0,6647"
Llama-3.1-8B-Instruct,"6,74",int4,"0,25",64,False,,,,"156,94","140,60","0,6780"
Llama-3.1-8B-Instruct,"6,00",int4,"0,50",64,False,,,,"149,34","133,02","0,6770"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,False,,,,"139,89","125,01","0,6736"
Llama-3.1-8B-Instruct,"4,48",int4,"1,00",64,False,,,,"133,06","113,23","0,6599"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,False,,,,"161,80","148,45","0,6811"
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,True,"0,2000","0,2000","0,3000","509,81","495,20","0,6771"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,True,"0,2000","0,2000","0,3000","182,64","115,22","0,6740"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,True,"0,2000","0,2000","0,3000","192,99","139,71","0,6796"
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,True,"0,2000","0,2000","0,4000","510,72","494,89","0,6750"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,True,"0,2000","0,2000","0,4000","181,34","114,01","0,6711"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,True,"0,2000","0,2000","0,4000","192,90","137,41","0,6760"
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,True,"0,2000","0,2000","0,5000","511,71","494,71","0,6753"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,True,"0,2000","0,2000","0,5000","181,91","112,02","0,6656"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,True,"0,2000","0,2000","0,5000","194,61","135,14","0,6739"
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,True,"0,3000","0,3000","0,3000","512,27","495,63","0,6752"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,True,"0,3000","0,3000","0,3000","181,69","112,42","0,6693"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,True,"0,3000","0,3000","0,3000","191,93","134,19","0,6750"
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,True,"0,3000","0,3000","0,4000","512,00","495,03","0,6755"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,True,"0,3000","0,3000","0,4000","182,00","111,38","0,6671"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,True,"0,3000","0,3000","0,4000","195,00","132,59","0,6740"
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,True,"0,3000","0,3000","0,5000","512,00","494,93","0,6693"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,True,"0,3000","0,3000","0,5000","181,80","109,29","0,6621"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,True,"0,3000","0,3000","0,5000","192,86","129,37","0,6721"
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,True,"0,4000","0,4000","0,3000","510,93","495,15","0,6620"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,True,"0,4000","0,4000","0,3000","184,84","108,96","0,6585"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,True,"0,4000","0,4000","0,3000","194,43","128,95","0,6646"
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,True,"0,4000","0,4000","0,4000","511,81","495,08","0,6577"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,True,"0,4000","0,4000","0,4000","180,42","107,51","0,6533"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,True,"0,4000","0,4000","0,4000","192,06","125,91","0,6626"
Llama-3.1-8B-Instruct,"14,96",bf16,"1,00",128,True,"0,4000","0,4000","0,5000","512,00","495,27","0,6628"
Llama-3.1-8B-Instruct,"5,10",int4,"0,80",64,True,"0,4000","0,4000","0,5000","180,86","106,14","0,6473"
Llama-3.1-8B-Instruct,"7,48",int8,"1,00",128,True,"0,4000","0,4000","0,5000","192,00","123,04","0,6577"
Phi-4-mini-instruct,"7,15",bf16,"1,00",128,False,,,,"262,36","264,76","0,6684"
Phi-4-mini-instruct,"2,13",int4,"1,00",128,False,,,,"62,04","65,18","0,6477"
Phi-4-mini-instruct,"2,10",int4,"1,00",256,False,,,,"61,19","63,22","0,6472"
Phi-4-mini-instruct,"2,31",int4,"1,00",32,False,,,,"83,92","79,82","0,6515"
Phi-4-mini-instruct,"2,19",int4,"1,00",64,False,,,,"68,38","71,20","0,6457"
